Abell name       RA        Dec
ABELL849S        20:09: 6  -54:23
ABELL1102S       23:14:30  -54:19
ABELL3404        06:45:30  -54:12
ABELL52S         00:27:42  -54:11
ABELL145S        01:17:42  -54:10
ABELL3050        02:45:42  -54:07
ABELL3067        02:54:36  -54:06
ABELL1112S       23:19:18  -54:05
ABELL148S        01:18:42  -54:02
ABELL390S        03:47: 0  -54:01
ABELL850S        20:10: 0  -53:58
ABELL592S        06:38:54  -53:57
ABELL48S         00:26:36  -53:56
ABELL1029S       22:29:42  -53:55
ABELL404S        03:56:24  -53:52
ABELL339S        03:19:18  -53:52
ABELL1132S       23:30:42  -53:52
ABELL2817        00:45:42  -53:50
ABELL3170        03:47:54  -53:49
ABELL463S        04:29:12  -53:49
ABELL399S        03:54:30  -53:48
ABELL877S        20:31:12  -53:41
ABELL3391        06:26:18  -53:40
ABELL3202        04:00:12  -53:39
ABELL3158        03:43: 0  -53:38
ABELL1128S       23:29: 6  -53:38
ABELL1083S       23:03:24  -53:37
ABELL3785        21:34:30  -53:37
ABELL66S         00:40:48  -53:36
ABELL366S        03:34:54  -53:35
ABELL584S        06:23: 0  -53:35
ABELL3819        21:52:24  -53:33
ABELL3065        02:52:48  -53:33
ABELL2762        00:19:24  -53:32
ABELL3209        04:02:42  -53:30
ABELL1079S       23:00:36  -53:30
ABELL3125        03:27:24  -53:30
ABELL1072S       22:55:54  -53:30
ABELL2987        02:12:30  -53:28
ABELL3850        22:16:24  -53:24
ABELL2782        00:30:18  -53:23
ABELL49S         00:26:48  -53:21
ABELL3803        21:45:54  -53:21
ABELL4005        23:26:18  -53:20
ABELL2917        01:29:42  -53:18
ABELL606S        07:57:42  -53:16
ABELL3643        19:42:12  -53:16
ABELL930S        21:19: 0  -53:12
ABELL3049        02:45:30  -53:11
ABELL823S        19:39:30  -53:10
ABELL3665        20:09:48  -53:10
ABELL1032S       22:31:36  -53:09
ABELL844S        20:07:24  -53:08
ABELL2779        00:29: 0  -53:06
ABELL3765        21:27:12  -53:04
ABELL889S        20:40: 0  -53:03
ABELL3965        23:05:24  -53:01
ABELL295S        02:45:30  -53:01
ABELL2941        01:45: 0  -53:00
ABELL3675        20:21:54  -52:56
ABELL839S        20:01:18  -52:55
ABELL3215        04:04:30  -52:52
ABELL2754        00:17: 6  -52:48
ABELL3074        02:57:54  -52:43
ABELL3911        22:46: 6  -52:43
ABELL3716        20:51:30  -52:42
ABELL861S        20:18:48  -52:41
ABELL815S        19:30:24  -52:38
ABELL835S        19:58:30  -52:37
ABELL3851        22:16:42  -52:35
ABELL845S        20:07:36  -52:34
ABELL3870        22:21:54  -52:34
ABELL3663        20:07:18  -52:33
ABELL3128        03:30:12  -52:33
ABELL957S        21:35:36  -52:32
ABELL3864        22:20:12  -52:28
ABELL1039S       22:34:54  -52:27
ABELL3872        22:23:18  -52:26
ABELL811S        19:17:12  -52:25
ABELL3038        02:37:54  -52:24
ABELL140S        01:13:24  -52:23
ABELL3193        03:58:12  -52:20
ABELL4034        23:46:42  -52:18
ABELL4018        23:35:24  -52:18
ABELL1100S       23:13:36  -52:17
ABELL3660        20:05:48  -52:16
ABELL338S        03:18:12  -52:15
ABELL110S        00:57:30  -52:15
ABELL326S        03:09:48  -52:14
ABELL3397        06:29:36  -52:14
ABELL956S        21:34:42  -52:13
ABELL63S         00:35:48  -52:11
ABELL2805        00:39:30  -52:10
ABELL3993        23:20: 6  -52:07
ABELL817S        19:31:24  -52:04
ABELL3793        21:39:24  -52:04
ABELL3915        22:47:36  -52:03
ABELL3385        06:17:42  -52:01
ABELL3123        03:23: 0  -52:01
ABELL3653        19:52:36  -52:01
ABELL3777        21:32:48  -52:01
ABELL55S         00:28:18  -51:59
ABELL828S        19:47:24  -51:57
ABELL906S        20:52:24  -51:57
ABELL308S        02:54:18  -51:55
ABELL54S         00:28:18  -51:53
ABELL2795        00:36:48  -51:53
ABELL116S        01:01:42  -51:51
ABELL580S        06:16:12  -51:51
ABELL3078        03:00:30  -51:50
ABELL1088S       23:08:36  -51:50
ABELL3836        22:09:24  -51:49
ABELL2997        02:15:42  -51:49
ABELL16S         00:12:48  -51:48
ABELL1107S       23:17:30  -51:48
ABELL3999        23:22:48  -51:47
ABELL3922        22:49:42  -51:46
ABELL325S        03:09:48  -51:40
ABELL395S        03:48:42  -51:39
ABELL152S        01:20:54  -51:37
ABELL47S         00:26:24  -51:37
ABELL2996        02:14:48  -51:37
ABELL375S        03:40:24  -51:36
ABELL968S        21:45:36  -51:36
ABELL147S        01:18: 6  -51:35
ABELL3849        22:15:54  -51:33
ABELL801S        18:27:30  -51:32
ABELL2861        01:04:24  -51:32
ABELL3692        20:34:48  -51:30
ABELL3163        03:45:42  -51:30
ABELL2900        01:21: 0  -51:29
ABELL3077        02:59:54  -51:27
ABELL3045        02:43:36  -51:27
ABELL479S        04:37:48  -51:26
ABELL442S        04:20:18  -51:26
ABELL353S        03:26:24  -51:24
ABELL1017S       22:23:12  -51:24
ABELL3796        21:39:30  -51:23
ABELL162S        01:31:42  -51:20
ABELL3120        03:21:54  -51:19
ABELL14S         00:12: 6  -51:19
ABELL936S        21:20:48  -51:19
ABELL871S        20:26: 0  -51:18
ABELL3303        05:01: 0  -51:16
ABELL532S        05:26:54  -51:15
ABELL330S        03:13: 6  -51:14
ABELL13S         00:10:54  -51:12
ABELL1118S       23:24:18  -51:11
ABELL132S        01:10: 6  -51:09
ABELL501S        04:50: 6  -51:07
ABELL250S        02:22:18  -51:06
ABELL3131        03:31:36  -51:03
ABELL315S        02:59:12  -51:01
ABELL307S        02:54: 0  -50:58
ABELL2839        00:54:12  -50:58
ABELL3639        19:28: 0  -50:56
ABELL3110        03:16:30  -50:54
ABELL125S        01:06:24  -50:53
ABELL821S        19:35: 0  -50:52
ABELL2893        01:17: 6  -50:52
ABELL4022        23:38:24  -50:51
ABELL3771        21:29:30  -50:48
ABELL433S        04:14:30  -50:47
ABELL222S        02:05:54  -50:47
ABELL275S        02:31:54  -50:45
ABELL669S        11:32: 6  -50:44
ABELL884S        20:35:48  -50:40
ABELL2834        00:52:54  -50:36
ABELL518S        05:15:24  -50:34
ABELL461S        04:28:12  -50:32
ABELL2854        01:00:48  -50:31
ABELL475S        04:36: 6  -50:30
ABELL533S        05:29: 6  -50:29
ABELL3843        22:11:54  -50:29
ABELL2776        00:26:12  -50:25
ABELL565S        06:05:36  -50:24
ABELL1073S       22:56: 0  -50:21
ABELL3331        05:15:12  -50:20
ABELL2738        00:12:36  -50:19
ABELL4030        23:45:12  -50:19
ABELL283S        02:35:30  -50:18
ABELL912S        20:59:42  -50:18
ABELL3868        22:21:12  -50:18
ABELL2827        00:50:42  -50:16
ABELL2777        00:27:12  -50:15
ABELL2808        00:40:30  -50:14
ABELL374S        03:40:12  -50:13
ABELL602S        07:09:30  -50:09
ABELL407S        03:58:36  -50:07
ABELL2818        00:45:48  -50:07
ABELL989S        22:04:24  -50:04
ABELL2790        00:33:48  -50:04
ABELL3020        02:27:18  -50:02
ABELL3002        02:18:12  -50:02
ABELL3817        21:51:12  -50:00
ABELL3403        06:41:54  -49:59
ABELL1139S       23:38:30  -49:59
ABELL2912        01:26:48  -49:59
ABELL74S         00:45:42  -49:56
ABELL525S        05:21:30  -49:56
ABELL3350        05:30:36  -49:55
ABELL101S        00:55:30  -49:55
ABELL2753        00:16:18  -49:51
ABELL358S        03:32:18  -49:48
ABELL2959        01:58:18  -49:47
ABELL3402        06:41:42  -49:46
ABELL601S        07:01: 6  -49:44
ABELL115S        01:01:42  -49:42
ABELL866S        20:21:48  -49:42
ABELL3326        05:12:48  -49:41
ABELL551S        05:50:42  -49:40
ABELL1074S       22:58: 6  -49:40
ABELL4025        23:39:48  -49:38
ABELL477S        04:36:54  -49:37
ABELL329S        03:12:36  -49:37
